GameIndex,MoveNumber,CurrentPlayer,MoveType,FromVertex,ToVertex,ChipsRemaining,WhiteScore,BlackScore,CoinsFlippedVertices,GameResult
81,12,black,RingMovement,26,25,49,0,0,,
81,13,white,RingMovement,31,21,48,0,0,,
81,14,black,RingMovement,29,28,47,0,0,,
81,15,white,RingMovement,60,59,46,0,0,,
81,16,black,RingMovement,73,72,45,0,0,,
81,17,white,RingMovement,33,34,44,0,0,,
81,18,black,RingMovement,25,24,43,0,0,,
81,19,white,RingMovement,3,2,42,0,0,,
81,20,black,RingMovement,72,71,41,0,0,,
81,21,white,RingMovement,21,20,40,0,0,,
81,22,black,RingMovement,28,38,39,0,0,,
81,23,white,RingMovement,59,58,38,0,0,,
81,24,black,RingMovement,24,23,37,0,0,,
81,25,white,RingMovement,58,57,36,0,0,,
81,26,black,RingMovement,55,54,35,0,0,,
81,27,white,RingMovement,20,19,34,0,0,,
81,28,black,RingMovement,71,70,33,0,0,,
81,29,white,RingMovement,2,1,32,0,0,,
81,30,black,RingMovement,38,39,31,0,0,,
81,31,white,RingMovement,1,7,30,0,0,,
81,32,black,RingMovement,54,53,29,0,0,,
81,33,white,RingMovement,7,6,28,0,0,,
81,34,black,RingMovement,32,22,27,0,0,,
81,35,white,RingMovement,19,11,26,0,0,,
81,36,black,RingMovement,23,27,25,0,0,24;25;26,
81,37,white,RingMovement,34,35,24,0,0,,
81,38,black,RingMovement,39,40,23,0,0,,
81,39,white,RingMovement,57,61,22,0,0,58;59;60,
81,40,black,RingMovement,40,41,21,0,0,,
81,41,white,RingMovement,61,62,20,0,0,,
81,42,black,RingMovement,22,13,19,0,0,,
81,43,white,RingMovement,0,5,18,0,0,,
81,44,black,RingMovement,70,69,17,0,0,,
81,45,white,RingMovement,35,36,16,0,0,,
81,46,black,RingMovement,27,18,15,0,0,,
81,47,white,RingMovement,6,8,14,0,0,7,
81,48,black,RingMovement,41,42,13,0,0,,
81,49,white,RingMovement,8,9,12,0,0,,
81,50,black,RingMovement,13,12,11,0,0,,
81,51,white,RingMovement,5,4,10,0,0,,
81,52,black,RingMovement,12,14,14,1,0,13,
81,53,white,RingMovement,62,63,13,1,0,,
81,54,black,RingMovement,42,43,17,1,1,,
81,55,black,RingMovement,69,68,21,1,2,,
81,56,black,RingMovement,53,52,20,1,2,,
81,57,white,RingMovement,11,13,19,1,2,12,
81,58,black,RingMovement,43,42,18,1,2,,
81,59,white,RingMovement,36,30,17,1,2,35;34;33;32;31,
81,60,black,RingMovement,68,67,16,1,2,,
81,61,white,RingMovement,30,37,15,1,2,31;32;33;34;35;36,
